User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
DippyTango,@BBC,"BBC News - Amazon under threat: fires, loggers and now virus https://t.co/WNzvXPhakO  The @BBC cares more about being left and throwing blame at the government than being green and throwing blame on us all. including themselves.",2020-05-22 09:07:33,-0.5423,0.107,0.187,0.706,1590138453
akapaulineblack,@BBC,"RT @BBC_Teach: Thank you @BBC for sharing our video. 💚

#MentalHealthAwarenessWeek",2020-05-22 09:07:30,0.6486,0.346,0.0,0.654,1590138450
superartist9,@BBC,RT @jbwhitesnake: ⁦@BBCBreakfast⁩ ⁦⁦@BBCNews⁩ ⁦@BBCScotland⁩ ⁦@BBCRadioScot⁩ ⁦@BBCGaryR⁩ ⁦@bbcpress⁩ ⁦@BBCWales⁩ ⁦@BBCNewsNI⁩ ⁦@BBCEngland⁩…,2020-05-22 09:07:27,0.0,0.0,0.0,1.0,1590138447
d_mos77,@BBC,"Hmm funny that @BBC 
#censorship #Plandemic https://t.co/BMqJk5Gq7V",2020-05-22 09:07:25,0.4404,0.326,0.0,0.674,1590138445
yurateh,@BBC,@GlassAnimals @BBC @jbirchphoto So cute,2020-05-22 09:07:21,0.5949,0.491,0.0,0.509,1590138441
Leslie_art_,@BBC,@GlassAnimals @BBC @jbirchphoto So beautiful 🥺💜,2020-05-22 09:07:18,0.7177,0.384,0.0,0.616,1590138438
NIGELROOTS47,@BBC,RT @LondonCalling82: @SocialM85897394 The media's relentless PC/Woke campaign and propaganda is driving otherwise moderate people undergrou…,2020-05-22 09:07:12,-0.2023,0.07,0.116,0.814,1590138432
yurateh,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:07:01,0.5994,0.17,0.0,0.83,1590138421
DrownedZero,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:07:00,0.5994,0.17,0.0,0.83,1590138420
CBEPXYMHAR,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:50,0.5994,0.17,0.0,0.83,1590138410
Donkers49,@BBC,"RT @GiftCee: No that’s not a U-turn it’s called a Prime Minister for the people, who is willing to listen to good input.

This is called le…",2020-05-22 09:06:43,0.1779,0.096,0.073,0.831,1590138403
